Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	CD
the face of the earth	The Dismemberment Plan		A Peoples History Of			4379159	182			1	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:01thefaceoftheearth.mp3	242
what do you want me to say-	The Dismemberment Plan		A Peoples History Of			6050578	252			2	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:02whatdoyouwantmetosay-.mp3	242
academy award	The Dismemberment Plan		A Peoples History Of			6600403	274			3	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:03academyaward.mp3	242
following through	The Dismemberment Plan		A Peoples History Of			6214209	258			4	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:04followingthrough.mp3	242
the other side	The Dismemberment Plan		A Peoples History Of			5500752	229			5	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:05theotherside.mp3	242
life of possibilities	The Dismemberment Plan		A Peoples History Of			5917040	246			6	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:06lifeofpossibilities.mp3	242
pay for the paino	The Dismemberment Plan		A Peoples History Of			3100204	129			7	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:07payforthepaino.mp3	242
time bomb	The Dismemberment Plan		A Peoples History Of			7231730	301			8	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:08timebomb.mp3	242
automatic	The Dismemberment Plan		A Peoples History Of			4693255	195			9	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:09automatic.mp3	242
the city	The Dismemberment Plan		A Peoples History Of			6807920	283			10	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:10thecity.mp3	242
