Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	310
Mike's Song	Phish		2004-08-15 I Coventry, VT			9160914	572			1		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d1_01_Mikes_Song.mp3	310
I Am Hydrogen	Phish		2004-08-15 I Coventry, VT			2426338	151			2		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d1_02_I_Am_Hydrogen.mp3	310
Weekapaug Groove	Phish		2004-08-15 I Coventry, VT			10772983	673			3		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d1_03_Weekapaug_Groove.mp3	310
Anything But Me	Phish		2004-08-15 I Coventry, VT			5250070	328			4		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d1_04_Anything_But_Me.mp3	310
Reba	Phish		2004-08-15 I Coventry, VT			14271301	891			5		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d1_05_Reba.mp3	310
Carini	Phish		2004-08-15 I Coventry, VT			5606589	350			6		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d2_01_Carini.mp3	310
Chalk Dust Torture	Phish		2004-08-15 I Coventry, VT			13295366	830			7		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d2_02_Chalk_Dust_Torture.mp3	310
Possum	Phish		2004-08-15 I Coventry, VT			8205459	512			8		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d2_03_Possum.mp3	310
Wolfman's Brother	Phish		2004-08-15 I Coventry, VT			12422668	776			9		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d2_03_Wolfmans_Brother.mp3	310
Taste	Phish		2004-08-15 I Coventry, VT			9859324	616			10		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set1:ph040815d2_04_Taste.mp3	310
Down With Disease	Phish		2004-08-15 II Coventry, VT			18991732	1186			1		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set2:ph040815d2_05_Down_With_Disease.mp3	310
Split Open And Melt	Phish		2004-08-15 II Coventry, VT			29836101	1864			5		2004	9/9/04 10:23 AM	9/9/04 11:20 AM	128	44100		MPEG audio file						MP3Vol310:Phish:Last_Show:040815_set2:ph040815d3_03_Split_Open_And_Melt.mp3	310
Alles ist Mine	Pigface		Fook		Industrial	5670161	236			1		1992	8/19/04 8:03 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-01-Alles ist Mine.mp3	310
Ten Ground and Down	Pigface		Fook		Industrial	8654389	360			2		1992	8/19/04 8:08 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-02-Ten Ground and Down.mp3	310
Seven Words	Pigface		Fook		Industrial	2317919	96			3		1992	8/19/04 8:09 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-03-Seven Words.mp3	310
Insemination	Pigface		Fook		Industrial	7067607	294			4		1992	8/19/04 8:13 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-04-Insemination.mp3	310
Hips, Tits, Lips, Power	Pigface		Fook		Industrial	7791095	324			5		1992	8/19/04 8:17 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-05-Hips, Tits, Lips, Power.mp3	310
Satellite	Pigface		Fook		Industrial	7492045	312			6		1992	8/19/04 8:20 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-06-Satellite.mp3	310
I'm Still Alive	Pigface		Fook		Industrial	5850092	243			7		1992	8/19/04 8:23 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-07-I'm Still Alive.mp3	310
Auto Hag	Pigface		Fook		Industrial	6822474	284			8		1992	8/19/04 8:26 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-08-Auto Hag.mp3	310
Go!	Pigface		Fook		Industrial	5288982	220			9		1992	8/19/04 8:29 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-09-Go!.mp3	310
I Can Do No Wrong	Pigface		Fook		Industrial	9080081	378			10		1992	8/19/04 8:34 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:Fook:Pigface-10-I Can Do No Wrong.mp3	310
Tapeworm	Pigface		Gub		Rock	6695833	278			1		1990	8/19/04 8:38 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-01-Tapeworm.mp3	310
The Bushmaster	Pigface		Gub		Rock	7737805	322			2		1990	8/19/04 8:42 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-02-The Bushmaster.mp3	310
Cylinder Head World	Pigface		Gub		Rock	5492110	228			3		1990	8/19/04 8:45 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-03-Cylinder Head World.mp3	310
Point Blank	Pigface		Gub		Rock	4263310	177			4		1990	8/19/04 8:47 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-04-Point Blank.mp3	310
Suck	Pigface		Gub		Rock	5335376	222			5		1990	8/19/04 8:50 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-05-Suck.mp3	310
Symphony For Taps	Pigface		Gub		Rock	2058367	85			6		1990	8/19/04 8:51 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-06-Symphony For Taps.mp3	310
The Greenhouse	Pigface		Gub		Rock	4993067	207			7		1990	8/19/04 8:54 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-07-The Greenhouse.mp3	310
Little Sisters	Pigface		Gub		Rock	4448884	185			8		1990	8/19/04 8:56 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-08-Little Sisters.mp3	310
Tailor Made	Pigface		Gub		Rock	8740907	364			9		1990	8/19/04 9:00 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Pigface:gub:Pigface-09-Tailor Made.mp3	310
Doomsday Averted	Rasputina		Frustration Plantation		Gothic Rock	3701573	154			1		2004	8/19/04 12:07 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-01-Doomsday Averted.mp3	310
Secret Message	Rasputina		Frustration Plantation		Gothic Rock	4710318	196			2		2004	8/19/04 12:10 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-02-Secret Message.mp3	310
Possum of the Grotto	Rasputina		Frustration Plantation		Gothic Rock	4241994	176			3		2004	8/19/04 12:12 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-03-Possum of the Grotto.mp3	310
If Your Kisses Can't Hold the Man You Love	Rasputina		Frustration Plantation		Gothic Rock	4503552	187			4		2004	8/19/04 12:15 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-04-If Your Kisses Can't Hold the Man You Love.mp3	310
The Mayor	Rasputina		Frustration Plantation		Gothic Rock	6662605	277			5		2004	8/19/04 12:19 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-05-The Mayor.mp3	310
When I Count...	Rasputina		Frustration Plantation		Gothic Rock	628319	26			6		2004	8/19/04 12:20 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-06-When I Count.mp3	310
High On Life	Rasputina		Frustration Plantation		Gothic Rock	5071434	211			7		2004	8/19/04 12:23 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-07-High On Life.mp3	310
Wicked Dickie	Rasputina		Frustration Plantation		Gothic Rock	3440767	143			8		2004	8/19/04 12:25 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-08-Wicked Dickie.mp3	310
My Captivity By Savages	Rasputina		Frustration Plantation		Gothic Rock	4342932	180			9		2004	8/19/04 12:27 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-09-My Captivity By Savages.mp3	310
Saline the Salt Lake Queen	Rasputina		Frustration Plantation		Gothic Rock	5925952	246			10		2004	8/19/04 12:31 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-10-Saline the Salt Lake Queen.mp3	310
Oh, Injury	Rasputina		Frustration Plantation		Gothic Rock	6004946	250			11		2004	8/19/04 12:35 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-11-Oh, Injury.mp3	310
When I Was a Young Girl	Rasputina		Frustration Plantation		Gothic Rock	2316665	96			12		2004	8/19/04 12:36 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-12-When I Was a Young Girl.mp3	310
Momma Was an Opium-Smoker	Rasputina		Frustration Plantation		Gothic Rock	2698471	112			13		2004	8/19/04 12:38 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-13-Momma Was an Opium-Smoker.mp3	310
Nov.17dee	Rasputina		Frustration Plantation		Gothic Rock	1657126	68			14		2004	8/19/04 12:39 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-14-Nov.17dee.mp3	310
Girls' School	Rasputina		Frustration Plantation		Gothic Rock	7917109	329			15		2004	8/19/04 12:43 PM	9/9/04 11:20 AM	192	44100		MPEG audio file						MP3Vol310:Rasputina:Frustration Plantation:Rasputina-15-Girls' School.mp3	310
Livin' On The Edge (Of Houston	Reverend Horton Heat		Full Custom Gospel Sounds		Rock	2764730	172			5			9/9/04 10:23 AM	9/9/04 11:21 AM	128	44100		MPEG audio file						MP3Vol310:Reverend Horton Heat:Rev._Horton_Heat_-_Full_Custom_Gospel_Sounds_Of..._-_04_-_Livin'_On_The_Edge_(Of_Houston).mp3	310
You Can't Get Away From Me	Reverend Horton Heat		The Full-Custom Gospel Sounds Of		Rockabilly	2344837	146			5			8/19/04 7:22 AM	9/9/04 11:21 AM	128	44100		MPEG audio file						MP3Vol310:Reverend Horton Heat:Rev._Horton_Heat_-_Full_Custom_Gospel_Sounds_Of..._-_05_-_You_Can't_Get_Away_From_Me.mp3	310
Rev._Horton_Heat_-_Smoke_'Em_If_You_Got_'Em_-_01_-_Bullet	Reverend Horton Heat					3024391	189						9/9/04 10:21 AM	9/9/04 11:21 AM	128	44100		MPEG audio file						MP3Vol310:Reverend Horton Heat:Rev._Horton_Heat_-_Smoke_'Em_If_You_Got_'Em_-_01_-_Bullet.mp3	310
I'm Mad	Reverend Horton Heat		Smoke 'em if You Got 'em		General Rock	3151872	196			2		1992	8/19/04 7:25 AM	9/9/04 11:21 AM	128	44100		MPEG audio file						MP3Vol310:Reverend Horton Heat:Rev._Horton_Heat_-_Smoke_'Em_If_You_Got_'Em_-_02_-_I'm_Mad.mp3	310
