Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	304
lost	The Cure		The Cure-(Retail)		Alternative	6528363	246			1		2004	8/5/04 11:16 AM	8/6/04 3:16 PM	212	44100		MPEG audio file		RTB				MP3Vol304:The Cure:01-the_cure-lost-rtb.mp3	304
labyrinth	The Cure		The Cure-(Retail)		Alternative	9625532	313			2		2004	8/5/04 11:22 AM	8/6/04 3:16 PM	245	44100		MPEG audio file		RTB				MP3Vol304:The Cure:02-the_cure-labyrinth-rtb.mp3	304
before three	The Cure		The Cure-(Retail)		Alternative	8552497	277			3		2004	8/5/04 11:26 AM	8/6/04 3:16 PM	246	44100		MPEG audio file		RTB				MP3Vol304:The Cure:03-the_cure-before_three-rtb.mp3	304
the end of the world	The Cure		The Cure-(Retail)		Alternative	6809697	223			4		2004	8/5/04 11:30 AM	8/6/04 3:16 PM	244	44100		MPEG audio file		RTB				MP3Vol304:The Cure:04-the_cure-the_end_of_the_world-rtb.mp3	304
anniversary	The Cure		The Cure-(Retail)		Alternative	6613038	259			5		2004	8/5/04 11:33 AM	8/6/04 3:16 PM	203	44100		MPEG audio file		RTB				MP3Vol304:The Cure:05-the_cure-anniversary-rtb.mp3	304
us or them	The Cure		The Cure-(Retail)		Alternative	7654482	248			6		2004	8/5/04 11:36 AM	8/6/04 3:16 PM	246	44100		MPEG audio file		RTB				MP3Vol304:The Cure:06-the_cure-us_or_them-rtb.mp3	304
alt.end	The Cure		The Cure-(Retail)		Alternative	8175735	269			7		2004	8/5/04 11:40 AM	8/6/04 3:16 PM	243	44100		MPEG audio file		RTB				MP3Vol304:The Cure:07-the_cure-alt.end-rtb.mp3	304
(i don't know what's going) on	The Cure		The Cure-(Retail)		Alternative	4894571	175			8		2004	8/5/04 11:43 AM	8/6/04 3:16 PM	222	44100		MPEG audio file		RTB				MP3Vol304:The Cure:08-the_cure-(i_dont_know_whats_going)_on-rtb.mp3	304
taking off	The Cure		The Cure-(Retail)		Alternative	5691227	197			9		2004	8/5/04 11:45 AM	8/6/04 3:16 PM	230	44100		MPEG audio file		RTB				MP3Vol304:The Cure:09-the_cure-taking_off-rtb.mp3	304
never	The Cure		The Cure-(Retail)		Alternative	7351904	242			10		2004	8/5/04 11:49 AM	8/6/04 3:16 PM	242	44100		MPEG audio file		RTB				MP3Vol304:The Cure:10-the_cure-never-rtb.mp3	304
the promise	The Cure		The Cure-(Retail)		Alternative	18507740	616			11		2004	8/5/04 11:58 AM	8/6/04 3:16 PM	240	44100		MPEG audio file		RTB				MP3Vol304:The Cure:11-the_cure-the_promise-rtb.mp3	304
I Want Wind To Blow	The Microphones		The Glow Pt. 2		Alternative & Punk	6655075	332	1	1	1	20	2001	7/16/04 12:40 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:01 I Want Wind To Blow.mp3	304
The Glow Pt. 2	The Microphones		The Glow Pt. 2		Alternative & Punk	5974842	298	1	1	2	20	2001	7/16/04 12:44 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:02 The Glow Pt. 2.mp3	304
The Moon	The Microphones		The Glow Pt. 2		Alternative & Punk	6346297	317	1	1	3	20	2001	7/16/04 12:48 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:03 The Moon.mp3	304
Headless Horseman	The Microphones		The Glow Pt. 2		Alternative & Punk	3807204	190	1	1	4	20	2001	7/16/04 12:50 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:04 Headless Horseman.mp3	304
My Roots Are Strong And Deep	The Microphones		The Glow Pt. 2		Alternative & Punk	2263901	113	1	1	5	20	2001	7/16/04 12:52 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:05 My Roots Are Strong And Deep.mp3	304
Instrumental	The Microphones		The Glow Pt. 2		Alternative & Punk	1965044	98	1	1	6	20	2001	7/16/04 12:53 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:06 Instrumental.mp3	304
The Mansion	The Microphones		The Glow Pt. 2		Alternative & Punk	4283149	214	1	1	7	20	2001	7/16/04 12:56 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:07 The Mansion.mp3	304
(Something)	The Microphones		The Glow Pt. 2		Alternative & Punk	2126479	106	1	1	8	20	2001	7/16/04 12:57 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:08 (Something).mp3	304
(Something) Cont.	The Microphones		The Glow Pt. 2		Alternative & Punk	3476494	173	1	1	9	20	2001	7/16/04 12:59 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:09 (Something) Cont..mp3	304
I'll Not Contain You	The Microphones		The Glow Pt. 2		Alternative & Punk	3416938	170	1	1	10	20	2001	7/16/04 1:01 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:10 I'll Not Contain You.mp3	304
The Gleam Pt. 2	The Microphones		The Glow Pt. 2		Alternative & Punk	2373603	118	1	1	11	20	2001	7/16/04 1:03 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:11 The Gleam Pt. 2.mp3	304
Map	The Microphones		The Glow Pt. 2		Alternative & Punk	6022897	301	1	1	12	20	2001	7/16/04 1:07 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:12 Map.mp3	304
You'll Be In The Air	The Microphones		The Glow Pt. 2		Alternative & Punk	3234081	161	1	1	13	20	2001	7/16/04 1:09 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:13 You'll Be In The Air.mp3	304
I Want To Be Cold	The Microphones		The Glow Pt. 2		Alternative & Punk	2040282	101	1	1	14	20	2001	7/16/04 1:10 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:14 I Want To Be Cold.mp3	304
I Am Bored	The Microphones		The Glow Pt. 2		Alternative & Punk	1927949	96	1	1	15	20	2001	7/16/04 1:11 PM	8/6/04 3:16 PM	160	44100		MPEG audio file						MP3Vol304:the glow pt.2:15 I Am Bored.mp3	304
