Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	352
Can't Take My Eyes Off of You [*]	Lauryn Hill		The Miseducation of Lauryn Hill		Rock/Pop	3557546	221			15		1998	1/20/05 1:26 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Can't Take My Eyes Off of You [-].mp3	352
Doo Wop (That Thing)	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	5137432	320			5		1998	1/20/05 1:29 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Doo Wop (That Thing).mp3	352
Every Ghetto, Every City	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	5048406	314			11		1998	1/20/05 1:31 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Every Ghetto, Every City.mp3	352
Everything Is Everything	Lauryn Hill	Johari Newton/Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	4705262	293			13		1998	1/20/05 1:34 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Everything Is Everything.mp3	352
Ex-Factor	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	5237742	326			3		1998	1/20/05 1:37 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Ex-Factor.mp3	352
Final Hour	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	4109252	256			7		1998	1/20/05 1:39 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Final Hour.mp3	352
Forgive Them Father	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	5060527	315			10		1998	1/20/05 1:42 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Forgive Them Father.mp3	352
I Used to Love Him	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	5447975	339			9		1998	1/20/05 1:45 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - I Used to Love Him.mp3	352
Intro	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	771012	47			1		1998	1/20/05 1:46 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Intro.mp3	352
Lost Ones	Lauryn Hill	Lauryn Hill	The Miseducation of Lauryn Hill		Rock/Pop	5355606	333			2		1998	1/20/05 1:49 AM	2/1/05 11:47 AM	128	44100		MPEG audio file						MP3Vol352:Lauryn Hill:The Miseducation of Lauryn Hill:Lauryn Hill - Lost Ones.mp3	352
