Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	323
Pharaoh's Daughter	Secret Machines		Now Here Is Nowhere		Alternative & Punk	6906899	345	1	1	6	9	2004	10/15/04 11:22 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Secret Machines:Now Here Is Nowhere:06 Pharaoh's Daughter.mp3	323
You Are Chains	Secret Machines		Now Here Is Nowhere		Alternative & Punk	2625024	131	1	1	7	9	2004	10/15/04 11:23 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Secret Machines:Now Here Is Nowhere:07 You Are Chains.mp3	323
the morning paper	Smog		Red Apple Falls		Sincere and Depressed	4854866	202			1	9		10/4/04 12:43 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:01 the morning paper.mp3	323
blood red bird	Smog		Red Apple Falls		Sincere and Depressed	5808437	241			2	9		10/4/04 12:44 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:02 blood red bird.mp3	323
red apples	Smog		Red Apple Falls		Sincere and Depressed	7364495	306			3	9		10/4/04 12:46 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:03 red apples.mp3	323
i was a stranger	Smog		Red Apple Falls		Sincere and Depressed	4896243	203			4	9		10/4/04 12:49 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:04 i was a stranger.mp3	323
to be of use	Smog		Red Apple Falls		Sincere and Depressed	8204595	341			5	9		10/4/04 12:52 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:05 to be of use.mp3	323
red apple falls	Smog		Red Apple Falls		Sincere and Depressed	9831504	409			6	9		10/4/04 12:56 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:06 red apple falls.mp3	323
ex.con	Smog		Red Apple Falls		Sincere and Depressed	5173340	215			7	9		10/4/04 12:59 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:07 ex.con.mp3	323
inspirational	Smog		Red Apple Falls		Sincere and Depressed	9260361	385			8	9		10/4/04 1:03 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:08 inspirational.mp3	323
finer days	Smog		Red Apple Falls		Sincere and Depressed	6978928	290			9	9		10/4/04 1:06 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Red Apple Falls:09 finer days.mp3	323
