Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	347
Way of the Sun	Archer Prewitt		Wilderness		Indie	8218811	290			1		2005	1/29/05 1:27 PM	2/1/05 10:36 AM	225	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:01 - Way of the Sun.mp3	347
Leaders	Archer Prewitt		Wilderness		Indie	7832200	264			2		2005	1/29/05 1:30 PM	2/1/05 10:36 AM	235	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:02 - Leaders.mp3	347
O, KY	Archer Prewitt		Wilderness		Indie	9683871	317			3		2005	1/29/05 1:34 PM	2/1/05 10:36 AM	242	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:03 - O, KY.mp3	347
Go Away	Archer Prewitt		Wilderness		Indie	8110329	294			4		2005	1/29/05 1:37 PM	2/1/05 10:36 AM	219	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:04 - Go Away.mp3	347
Judy, Judy	Archer Prewitt		Wilderness		Indie	8211271	281			5		2005	1/29/05 1:40 PM	2/1/05 10:36 AM	232	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:05 - Judy, Judy.mp3	347
No More	Archer Prewitt		Wilderness		Indie	5850989	225			6		2005	1/29/05 1:42 PM	2/1/05 10:36 AM	206	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:06 - No More.mp3	347
Think Again	Archer Prewitt		Wilderness		Indie	8244001	314			7		2005	1/29/05 1:45 PM	2/1/05 10:36 AM	208	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:07 - Think Again.mp3	347
Cheap Rhyme	Archer Prewitt		Wilderness		Indie	11230621	379			8		2005	1/29/05 1:49 PM	2/1/05 10:36 AM	235	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:08 - Cheap Rhyme.mp3	347
O, Lord	Archer Prewitt		Wilderness		Indie	8199944	301			9		2005	1/29/05 1:52 PM	2/1/05 10:36 AM	216	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:09 - O, Lord.mp3	347
Without You	Archer Prewitt		Wilderness		Indie	9135085	309			10		2005	1/29/05 1:55 PM	2/1/05 10:36 AM	234	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:10 - Without You.mp3	347
Wilderness	Archer Prewitt		Wilderness		Indie	7575493	256			11		2005	1/29/05 1:58 PM	2/1/05 10:36 AM	235	44100		MPEG audio file						MP3Vol347:Archer Prewitt - Wilderness:11 - Wilderness.mp3	347
Karma Knowledge	Armand Van Helden		Gandhi Khan		Electronica/Dance	315651	13			1	18		1/6/05 1:34 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:01 Karma Knowledge.mp3	347
Gandhi Khan	Armand Van Helden		Gandhi Khan		Electronica/Dance	6531118	272			2	18		1/6/05 1:37 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:02 Gandhi Khan.mp3	347
I Can Smell U	Armand Van Helden		Gandhi Khan		Electronica/Dance	10731610	447			3	18		1/6/05 1:43 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:03 I Can Smell U.mp3	347
Mongoloid Sessions	Armand Van Helden		Gandhi Khan		Electronica/Dance	1022214	42			4	18		1/6/05 1:44 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:04 Mongoloid Sessions.mp3	347
Why Can't You Free Some Time For Me	Armand Van Helden		Gandhi Khan		Electronica/Dance	10976138	457			5	18		1/6/05 1:50 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:05 Why Can't You Free Some Time For.mp3	347
Don Chiconelli Part 1	Armand Van Helden		Gandhi Khan		Electronica/Dance	1367033	56			6	18		1/6/05 1:50 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:06 Don Chiconelli Part 1.mp3	347
Robots Are Cumming	Armand Van Helden		Gandhi Khan		Electronica/Dance	9485887	395			7	18		1/6/05 1:54 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:07 Robots Are Cumming.mp3	347
Kentucky Fried Flow	Armand Van Helden		Gandhi Khan		Electronica/Dance	9470215	394			8	18		1/6/05 2:00 AM	2/1/05 10:36 AM	192	44100		MPEG audio file						MP3Vol347:Armand Van Helden:Gandhi Khan:08 Kentucky Fried Flow.mp3	347
