Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
pivotal	Cursive		The Difference Between			3380796	168			2	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:02 pivotal.mp3	366
sucker & dry	Cursive		The Difference Between			3756965	187			3	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:03 sucker _ dry.mp3	366
icebreakers	Cursive		The Difference Between			5778319	288			4	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:04 icebreakers.mp3	366
and the bit just chokes them	Cursive		The Difference Between			5872377	293			5	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:05 and the bit just chokes them.mp3	366
there's a coldest day in every year	Cursive		The Difference Between			2924727	146			6	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:06 there_s a coldest day in every year.mp3	366
a disruption in the normal swing of things	Cursive		The Difference Between			3453452	172			7	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:07 a disruption in the normal swing of things.mp3	366
nostalgia	Cursive		The Difference Between			4125811	206			8	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:08 nostalgia.mp3	366
the knowledgable hasbeens	Cursive		The Difference Between			3646741	182			9	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:09 the knowledgable hasbeens.mp3	366
polar	Cursive		The Difference Between			6807016	340			10	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:10 polar.mp3	366
a disruption in our lines of influence	Cursive		The Difference Between			2873531	143			11	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:11 a disruption in our lines of influence.mp3	366
