Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	326
Lattialla Taas - Uusi Fantasia/Venus + 2 After 909 - Intergalactic Autobahn	ERLEND OYE		DJ-Kicks		Dance	1777664	73			1		2004	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:01 Lattialla Taas - Uusi Fantasia_Venus + 2 After 909 - Intergalactic Autobahn.mp3	326
A Sudden Rush [with Kompis]	ERLEND OYE		Unrest		Electronic	4898401	204			2		2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:02 A Sudden Rush [with Kompis].mp3	326
Prego Amore (w Jolly Music)	ERLEND OYE		Unrest-ADVANCE		Electronic	5658878	235			4		2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:04 Prego Amore (w Jolly Music).mp3	326
Prego Amore	ERLEND OYE		Unrest			5616427	233	1	1	4	10	2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:04 Prego Amore.mp3	326
Every Party Has A Winner And A Loser	ERLEND OYE		Unrest			6647767	276	1	1	5	10	2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:05 Every Party Has A Winner And A Loser.mp3	326
Symptom Of Disease (w Mr Velcr	ERLEND OYE		Unrest-ADVANCE		Electronic	7147305	297			5		2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:05 Symptom Of Disease (w Mr Velcr.mp3	326
every party (feat. PREFUSE 73)	ERLEND OYE		unrest-advance		electrique	6307865	262			7		2003	8/7/04 6:02 AM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:07 every party (feat. PREFUSE 73).mp3	326
The Athlete (w Minizza)	ERLEND OYE		Unrest		Electronic	5263360	219			8		2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:08 The Athlete (w Minizza).mp3	326
A While Ago And Recently	ERLEND OYE		Unrest			10129773	421	1	1	9	10	2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:09 A While Ago And Recently.mp3	326
Lattialla Taas/Erlend ¯ye - Uusi Fantasia/Venus (Acapella)	ERLEND OYE		DJ Kicks		!K7	1449403	63			9	18	2004	10/18/04 12:34 PM	10/18/04 1:52 PM	181	44100		MPEG audio file						MP3Vol326:Erlend Oye:09 Lattialla Taas_Erlend _ye - Uusi Fantasia_Venus (Acapella).mp3	326
Like Gold (w Schneider TM)	ERLEND OYE		Unrest-ADVANCE		Electronic	6305879	262			10		2003	10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:10 Like Gold (w Schneider TM).mp3	326
Ršyksopp/Erlend ¯ye - Poor Leno (Silikon Soul Remix)/There Is A Light That Never Goes Out (Acapella)	ERLEND OYE		DJ Kicks		!K7	8323264	353			13	18	2004	10/18/04 12:34 PM	10/18/04 1:52 PM	187	44100		MPEG audio file						MP3Vol326:Erlend Oye:13 Ršyksopp_Erlend _ye - Poor Leno (Silikon Soul Remix)_There Is A Light That Never Goes Out (Acapella).mp3	326
No Train To Stockholm	ERLEND OYE					3521672	146						10/18/04 12:34 PM	10/18/04 1:52 PM	192	44100		MPEG audio file						MP3Vol326:Erlend Oye:No Train To Stockholm.mp3	326
God Loves His Children	Lester Flatt & Earl Scruggs		1948-1959, Vol. 1		Bluegrass	5200969	162			1	28	1991	10/1/04 3:06 PM	10/18/04 1:52 PM	256	44100		MPEG audio file						MP3Vol326:Flatt & Scruggs - 1948-1959 (4 CD):Flatt & Scruggs - 1948-1959 (1 of 4):101 - God Loves His Children.mp3	326
I'm Going To Make Heaven My Home	Lester Flatt & Earl Scruggs		1948-1959, Vol. 1		Bluegrass	5100669	159			2	28	1991	10/1/04 3:09 PM	10/18/04 1:52 PM	256	44100		MPEG audio file						MP3Vol326:Flatt & Scruggs - 1948-1959 (4 CD):Flatt & Scruggs - 1948-1959 (1 of 4):102 - I'm Going To Make Heaven My Home.mp3	326
We'll Meet Again Sweetheart	Lester Flatt & Earl Scruggs		1948-1959, Vol. 1		Bluegrass	5235247	163			3	28	1991	10/1/04 3:12 PM	10/18/04 1:52 PM	256	44100		MPEG audio file						MP3Vol326:Flatt & Scruggs - 1948-1959 (4 CD):Flatt & Scruggs - 1948-1959 (1 of 4):103 - We'll Meet Again Sweetheart.mp3	326
My Cabin In Caroline	Lester Flatt & Earl Scruggs		1948-1959, Vol. 1		Bluegrass	5078923	158			4	28	1991	10/1/04 3:15 PM	10/18/04 1:52 PM	256	44100		MPEG audio file						MP3Vol326:Flatt & Scruggs - 1948-1959 (4 CD):Flatt & Scruggs - 1948-1959 (1 of 4):104 - My Cabin In Caroline.mp3	326
