Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	330
It's Gonna Rain	Steve Reich		Early Works			7727673	482			4		1987	6/22/04 10:35 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:04 It's Gonna Rain.mp3	330
Section X	Steve Reich		Music For 18 Musicians			2660656	110			12			10/28/04 8:50 AM	10/28/04 9:21 AM	192	44100		MPEG audio file						MP3Vol330:Steve Reich:12 - Section X (1).mp3	330
america - steve reich, kronos quartet, pat metheny	Steve Reich					6933690	433						10/26/04 1:51 PM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:america - steve reich, kronos quartet, pat metheny.mp3	330
Drumming (Part1)	Reich, Steve		NPR 100			4175427	149						6/26/04 4:28 PM	10/28/04 9:21 AM	224	44100		MPEG audio file						MP3Vol330:Steve Reich:Reich, Steve - Drumming (Part1)).mp3	330
Loops and verses	Steve Reich; John Adams		Variations for Winds, String		Pop	9599483	443					2000	10/28/04 8:50 AM	10/28/04 9:21 AM	173	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich & John Adams- Loops and Verses.mp3	330
Surah 3 (chanted in Arabic from the Koran by Sheikh Dahoud Atalah, Muqri of Al-Aksa Mosque)	Steve Reich		The Cave		Classical	4509696	281			15		1994	6/22/04 9:17 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:steve reich - chanted in Arabic from the Koran by Sheikh Dahoud Atalah, Muqri of Al-Aksa Mosque.mp3	330
steve reich - city life v heavy smoke	Steve Reich					7923595	282						10/26/04 1:51 PM	10/28/04 9:21 AM	224	44100		MPEG audio file						MP3Vol330:Steve Reich:steve reich - city life v heavy smoke.mp3	330
Clapping Music	Steve Reich				Alternative	4608000	287						6/22/04 12:18 PM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:steve reich - clapping music.mp3	330
Come Out	Steve Reich		Early Works			12632108	789			1		1999	10/28/04 8:50 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:steve reich - come out.mp3	330
The People Are The Heroes Now	Steve Reich - John Adams - Philip Glass - Terry Riley		 Nixon In China 		Ambient	2742272	171						6/22/04 10:26 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - John Adams - Philip Glass - Terry Riley - Nixon in China - 1 - The people are the heroes now.mp3	330
Landing Of The Spirit Of 76	Steve Reich - John Adams - Philip Glass - Terry Riley 		Nixon In China 		Ambient	2373632	148						6/22/04 9:45 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - John Adams - Philip Glass - Terry Riley - Nixon in China - 2 - Landing of the Spirit of 76.mp3	330
steve reich - music for pieces of wood	Steve Reich					1261027	101						10/26/04 1:51 PM	10/28/04 9:21 AM	99	44100		MPEG audio file						MP3Vol330:Steve Reich:steve reich - music for pieces of wood.mp3	330
music for 18 musicians (coldcut remix)	steve reich		Reich Remixed		Jazz	7606272	362						10/28/04 8:50 AM	10/28/04 9:21 AM	167	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - Music Ror 18 Musicians (Coldcut Remix).mp3	330
Nagoya Marimbas	Steve Reich				Classical	4456448	275						6/22/04 9:02 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - Nagoya Marimbas.mp3	330
Six Marimbas	Steve Reich, Manhatten Marimba		Steve Reich_ Sextet &amp; Six		Classical	27420654	979			6		2001	6/22/04 12:50 PM	10/28/04 9:21 AM	224	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - Six marimbas .mp3	330
Six Pianos	Steve Reich		Drumming - 2 sur 2		Classical	23236402	1461			2	3		10/28/04 8:50 AM	10/28/04 9:21 AM	127	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - Six Pianos - 2.mp3	330
Violin Phase	Steve Reich					3929284	245						6/22/04 8:25 AM	10/28/04 9:21 AM	128	44100		MPEG audio file						MP3Vol330:Steve Reich:Steve Reich - Violin Phase.mp3	330
