Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	354
There Are Nights	Mulehead		Finer Thing		Country	4230874	176			1	16	2004	9/27/04 3:31 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:01 There Are Nights.mp3	354
Sober Weekends	Mulehead		Finer Thing		Country	4327420	180			2	16	2004	9/27/04 3:32 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:02 Sober Weekends.mp3	354
Frankie Lee	Mulehead		Finer Thing		Country	4081657	169			3	16	2004	9/27/04 3:33 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:03 Frankie Lee.mp3	354
All Fall Down	Mulehead		Finer Thing		Country	4389486	182			4	16	2004	9/27/04 3:34 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:04 All Fall Down.mp3	354
Crows On A Wire	Mulehead		Finer Thing		Country	3533717	147			5	16	2004	9/27/04 3:35 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:05 Crows On A Wire.mp3	354
Cottonmouths and Copperheads	Mulehead		Finer Thing		Country	4430252	184			6	16	2004	9/27/04 3:36 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:06 Cottonmouths and Copperheads.mp3	354
Gardners' Manifesto	Mulehead		Finer Thing		Country	3965054	165			7	16	2004	9/27/04 3:37 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:07 Gardners' Manifesto.mp3	354
My House	Mulehead		Finer Thing		Country	4088550	170			8	16	2004	9/27/04 3:38 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:08 My House.mp3	354
Deep Water	Mulehead		Finer Thing		Country	4487285	186			9	16	2004	9/27/04 3:39 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:09 Deep Water.mp3	354
Whatcha See	Mulehead		Finer Thing		Country	8607529	358			10	16	2004	9/27/04 3:42 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:10 Whatcha See.mp3	354
Stubborn Blood	Mulehead		Finer Thing		Country	4331810	180			11	16	2004	9/27/04 3:43 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:11 Stubborn Blood.mp3	354
Let the Hammers Fall Where They May	Mulehead		Finer Thing		Country	7658368	319			12	16	2004	9/27/04 3:45 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:12 Let the Hammers Fall Where They May.mp3	354
Eventually	Mulehead		Finer Thing		Country	6054633	252			13	16	2004	9/27/04 3:46 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:13 Eventually.mp3	354
Favorite Song	Mulehead		Finer Thing		Country	4526160	188			14	16	2004	9/27/04 3:47 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:14 Favorite Song.mp3	354
Out on the Porch	Mulehead		Finer Thing		Country	7744239	322			15	16	2004	9/27/04 3:49 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:15 Out on the Porch.mp3	354
Feathers in the Wind	Mulehead		Finer Thing		Country	3532469	147			16	16	2004	9/27/04 3:50 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:Finer Thing:16 Feathers in the Wind.mp3	354
Cheap Red Wine	Mulehead		The Gospel Accordion II		Rock	4445913	185			1	12		11/21/04 6:33 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:The Gospel Accordion II:01 Cheap Red Wine.mp3	354
Busted	Mulehead		The Gospel Accordion II		Rock	4811410	200			2	12		11/21/04 6:34 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:The Gospel Accordion II:02 Busted.mp3	354
One Of These Days	Mulehead		The Gospel Accordion II		Rock	3044707	126			3	12		11/21/04 6:35 PM	2/1/05 12:16 PM	192	44100		MPEG audio file						MP3Vol354:Mulehead:The Gospel Accordion II:03 One Of These Days.mp3	354
