Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	303
Drawing Flies	Soundgarden		Badmoterfinger		Rock	3516806	146	1	1	10	12	1991	7/15/04 9:43 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Drawing Flies.mp3	303
Face Pollution	Soundgarden		Badmoterfinger		Rock	3452232	143	1	1	5	12	1991	7/15/04 9:41 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Face Pollution.mp3	303
Holy Water	Soundgarden		Badmoterfinger		Rock	7383762	307	1	1	11	12	1991	7/15/04 9:39 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Holy Water.mp3	303
Jesus Christ Pose	Soundgarden		Badmoterfinger		Rock	8425740	350	1	1	4	12	1991	7/15/04 9:33 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Jesus Christ Pose.mp3	303
Mind Riot	Soundgarden		Badmoterfinger		Rock	6952426	289	1	1	9	12	1991	7/15/04 9:28 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Mind Riot.mp3	303
Outshined	Soundgarden		Badmoterfinger		Rock	7456485	310	1	1	2	12	1991	7/15/04 9:23 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Outshined.mp3	303
Room A Thousand Years Wide	Soundgarden		Badmoterfinger		Rock	5906709	246	1	1	8	12	1991	7/15/04 9:18 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Room A Thousand Years Wide.mp3	303
Rusty Cage	Soundgarden		Badmoterfinger		Rock	6385674	265	1	1	1	12	1991	7/15/04 9:13 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Rusty Cage.mp3	303
Searching With My Good Eye Closed	Soundgarden		Badmoterfinger		Rock	9392496	391	1	1	7	12	1991	7/15/04 9:09 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Searching With My Good Eye.mp3	303
slaves&bulldozers	Soundgarden		Badmoterfinger		Rock	9981802	415	1	1	3	12	1991	7/15/04 9:03 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:slaves_bulldozers.mp3	303
Somewhere	Soundgarden		Badmoterfinger		Rock	6260912	260	1	1	6	12	1991	7/15/04 8:57 PM	8/6/04 3:05 PM	192	44100		MPEG audio file						MP3Vol303:Soundgarden:Badmoterfinger:Somewhere.mp3	303
Out Of Focus	Stylex	Stylex	Auto Focus		Rock	2073558	126	1	1	1	10	2003	8/3/04 9:32 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:01 Out Of Focus.m4a	303
Wiggle While You Work It	Stylex	Stylex	Auto Focus		Rock	3281661	201	1	1	2	10	2003	8/3/04 9:34 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:02 Wiggle While You Work It.m4a	303
Run Off	Stylex	Stylex	Auto Focus		Rock	3851279	237	1	1	3	10	2003	8/3/04 9:36 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:03 Run Off.m4a	303
Supershadows	Stylex	Stylex	Auto Focus		Rock	2643678	162	1	1	4	10	2003	8/3/04 9:38 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:04 Supershadows.m4a	303
Paragraph	Stylex	Stylex	Auto Focus		Rock	3273565	201	1	1	5	10	2003	8/3/04 9:40 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:05 Paragraph.m4a	303
Thats That	Stylex	Stylex	Auto Focus		Rock	1324317	79	1	1	6	10	2003	8/3/04 9:41 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:06 Thats That.m4a	303
The Best News	Stylex	Stylex	Auto Focus		Rock	2031948	123	1	1	7	10	2003	8/3/04 9:42 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:07 The Best News.m4a	303
Gamerom	Stylex	Stylex	Auto Focus		Rock	2362228	144	1	1	8	10	2003	8/3/04 9:44 AM	8/6/04 3:05 PM	128	44100		AAC audio file						MP3Vol303:Stylex:Auto Focus:08 Gamerom.m4a	303
