You've Got It Bad Girl	Yesterdays New Quintet	Stevie Wonder	Stevie		Hip Hop/Rap	4475957	223	1	1	6	11	2003	6/2/04 10:43 AM	6/3/04 1:02 PM	160	44100		MPEG audio file						MP3Vol277:Yesterdays New Quintet:Stevie:06 You've Got It Bad Girl.mp3	277
Rocket Love Pt. 1	Yesterdays New Quintet	Stevie Wonder	Stevie		Hip Hop/Rap	3744001	187	1	1	5	11	2003	6/2/04 10:38 AM	6/3/04 1:02 PM	160	44100		MPEG audio file						MP3Vol277:Yesterdays New Quintet:Stevie:05 Rocket Love Pt. 1.mp3	277
Superwoman / Where Were You Last Winter	Yesterdays New Quintet	Stevie Wonder	Stevie		Hip Hop/Rap	6217818	310	1	1	4	11	2003	6/2/04 10:35 AM	6/3/04 1:02 PM	160	44100		MPEG audio file						MP3Vol277:Yesterdays New Quintet:Stevie:04 Superwoman _ Where Were You Last Winter.mp3	277
Visions	Yesterdays New Quintet	Stevie Wonder	Stevie		Hip Hop/Rap	4503109	225	1	1	3	11	2003	6/2/04 10:30 AM	6/3/04 1:02 PM	160	44100		MPEG audio file						MP3Vol277:Yesterdays New Quintet:Stevie:03 Visions.mp3	277
Superstition	Yesterdays New Quintet	Stevie Wonder	Stevie		Hip Hop/Rap	3739293	186	1	1	2	11	2003	6/2/04 10:24 AM	6/3/04 1:02 PM	160	44100		MPEG audio file						MP3Vol277:Yesterdays New Quintet:Stevie:02 Superstition.mp3	277
Prelude	Yesterdays New Quintet	Stevie Wonder	Stevie		Hip Hop/Rap	598848	29	1	1	1	11	2003	6/2/04 10:19 AM	6/3/04 1:02 PM	160	44100		MPEG audio file						MP3Vol277:Yesterdays New Quintet:Stevie:01 Prelude.mp3	277
Tonite And Today (What Chu' Talkin' 'bout)	Xiu Xiu		Knife Play		Alternative & Punk	7746788	322			11	11	2002	4/30/04 2:27 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:11 Tonite And Today (What Chu' Talkin' 'bout).mp3	277
Homonculus	Xiu Xiu		Knife Play		Alternative & Punk	4804533	200			10	11	2002	4/30/04 2:23 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:10 Homonculus.mp3	277
Poe Poe	Xiu Xiu		Knife Play		Alternative & Punk	5286644	220			9	11	2002	4/30/04 2:20 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:09 Poe Poe.mp3	277
Suha	Xiu Xiu		Knife Play		Alternative & Punk	7137992	297			8	11	2002	4/30/04 2:17 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:08 Suha.mp3	277
Anne Dong	Xiu Xiu		Knife Play		Alternative & Punk	7007593	291			7	11	2002	4/30/04 2:13 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:07 Anne Dong.mp3	277
Over Over	Xiu Xiu		Knife Play		Alternative & Punk	5897285	245			6	11	2002	4/30/04 2:09 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:06 Over Over.mp3	277
Dr. Troll	Xiu Xiu		Knife Play		Alternative & Punk	5625193	234			5	11	2002	4/30/04 2:06 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:05 Dr. Troll.mp3	277
Hives Hives	Xiu Xiu		Knife Play		Alternative & Punk	5354358	223			4	11	2002	4/30/04 2:03 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:04 Hives Hives.mp3	277
Luber	Xiu Xiu		Knife Play		Alternative & Punk	5832079	242			3	11	2002	4/30/04 2:00 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:03 Luber.mp3	277
I Broke Up (SJ)	Xiu Xiu		Knife Play		Alternative & Punk	3366966	140			2	11	2002	4/30/04 1:56 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:02 I Broke Up (SJ).mp3	277
Don Diasco	Xiu Xiu		Knife Play		Alternative & Punk	4202670	175			1	11	2002	4/30/04 1:55 PM	6/3/04 1:02 PM	192	44100		MPEG audio file						MP3Vol277:Xiu Xiu:Knife Play:01 Don Diasco.mp3	277
