Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	CD
Young Hearts Run Free (The Overture Mix)	Kim Mazelle	David Crawford	Something For Everybody		Soundtrack	7519876	313	1	1	2	17	1997	1/21/04 11:17 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:02 Young Hearts Run Free (The Overture Mix).mp3	243
Lovefool (Snooper Version)	Snooper Persson	Peter Svensson, Nina Persson	Something For Everybody		Soundtrack	4521859	188	1	1	3	17	1997	1/21/04 11:18 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:03 Lovefool (Snooper Version).mp3	243
Perhaps Perhaps Perhaps	Doris Day	Joe Davis, O. Farres	Something For Everybody		Soundtrack	3674221	152	1	1	4	17	1947	1/21/04 11:18 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:04 Perhaps Perhaps Perhaps.mp3	243
Time After Time [The S.F.E. Version]	Tara Morice	Tim Cox, Nigel Swanston	Something For Everybody		Soundtrack	10317909	429	1	1	5	17	1997	1/21/04 11:19 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:05 Time After Time [The S.F.E. Version].mp3	243
Che Gelida Manina ( Your Tiny Hand Is Frozen)	David Hobson And The Australian Opera & Ballet Orchestra	Giacomo Puccini, Giuseppe Giacosa, Luigi Illica	Something For Everybody		Soundtrack	3982771	165	1	1	6	17	1993	1/21/04 11:20 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:06 Che Gelida Manina ( Your Tiny Hand Is Frozen).mp3	243
When Doves Cry (Extended Version)	Quindon Tarver	Prince Rogers Nelson	Something For Everybody		Soundtrack	7184466	299	1	1	7	17	1998	1/21/04 11:21 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:07 When Doves Cry (Extended Version).mp3	243
Love Is In The Air (Fran Mix)	John Paul Young	Vanda, Young	Something For Everybody		Soundtrack	6503600	270	1	1	8	17	1997	1/21/04 11:21 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:08 Love Is In The Air (Fran Mix).mp3	243
Nutbod (Houseboats Of Kashmor Mix)	Ann Christine	Benjamin Britten	Something For Everybody		Soundtrack	5837171	243	1	1	9	17	1997	1/21/04 11:22 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:09 Nutbod (Houseboats Of Kashmor Mix).mp3	243
Happy Feet (High Heels Mix)	Jack Hylton & His Orchestra	Yellen & Ager	Something For Everybody		Soundtrack	3371425	140	1	1	10	17	1997	1/21/04 11:22 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:10 Happy Feet (High Heels Mix).mp3	243
Angel (7 Mix)	Gavin Friday	Friday & Seezer	Something For Everybody		Soundtrack	6010184	250	1	1	11	17	1995	1/21/04 11:23 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:11 Angel (7 Mix).mp3	243
Os Quindos De Ya Ya	Stanley Black	Barrosso & Drake	Something For Everybody		Soundtrack	2869855	119	1	1	12	17	1941	1/21/04 11:23 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:12 Os Quindos De Ya Ya.mp3	243
Aquarius Let The Sunshine In	HELENA	Ragni, Rado & MacDermott	Something For Everybody		Soundtrack	7065340	294	1	1	13	17	1997	1/21/04 11:24 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:13 Aquarius Let The Sunshine In.mp3	243
Time After Time (The S.F.E. Version)	Quindon Tarver & Lee Perry	C. Lauper & R. Hyman	Something For Everybody		Soundtrack	5736880	238	1	1	14	17	1997	1/21/04 11:25 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:14 Time After Time (The S.F.E. Version).mp3	243
I'm Losing You	Lani	Bazmark/Meagher & Harmer	Something For Everybody		Soundtrack	4239711	176	1	1	15	17	1997	1/21/04 11:25 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:15 I'm Losing You.mp3	243
Now Until The Break Of Day (Single Version)	Christine Anu	Benjamin Britten	Something For Everybody		Soundtrack	5923698	246	1	1	16	17	1997	1/21/04 11:26 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:16 Now Until The Break Of Day (Single Version).mp3	243
Jupiter (Edit) [From The Planets]	London Symphony Orchestra Conducted By Andre Previn	Gustav Holst	Something For Everybody		Soundtrack	6717427	279	1	1	17	17	1974	1/21/04 11:27 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:17 Jupiter (Edit) [From The Planets].mp3	243
Piano & I	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	2677978	111	1	1	1	16	2001	1/21/04 12:43 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:01 Piano & I.mp3	243
Girlfriend	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5153760	214	1	1	2	16	2001	1/21/04 12:43 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:02 Girlfriend.mp3	243
How Come You Don't Call Me	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5706736	237	1	1	3	16	2001	1/21/04 12:44 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:03 How Come You Don't Call Me.mp3	243
Fallin'	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5048432	210	1	1	4	16	2001	1/21/04 12:44 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:04 Fallin'.mp3	243
Troubles	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	6457791	268	1	1	5	16	2001	1/21/04 12:45 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:05 Troubles.mp3	243
Rock Wit You	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	8084074	336	1	1	6	16	2001	1/21/04 12:46 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:06 Rock Wit You.mp3	243
A Woman's Worth	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	7283476	303	1	1	7	16	2001	1/21/04 12:47 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:07 A Woman's Worth.mp3	243
Jane Doe	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5484155	228	1	1	8	16	2001	1/21/04 12:47 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:08 Jane Doe.mp3	243
Goodbye	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	6260931	260	1	1	9	16	2001	1/21/04 12:48 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:09 Goodbye.mp3	243
The Life	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	7805084	325	1	1	10	16	2001	1/21/04 12:49 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:10 The Life.mp3	243
Mr. Man (Duet With Jimmy Cozier)	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5998270	249	1	1	11	16	2001	1/21/04 12:50 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:11 Mr. Man (Duet With Jimmy Cozier).mp3	243
Never Felt This Way (Interlude)	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	2906207	120	1	1	12	16	2001	1/21/04 12:50 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:12 Never Felt This Way (Interlude).mp3	243
Butterflyz	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5966901	248	1	1	13	16	2001	1/21/04 12:51 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:13 Butterflyz.mp3	243
Why Do I Feel So Sad	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	6383825	265	1	1	14	16	2001	1/21/04 12:52 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:14 Why Do I Feel So Sad.mp3	243
Caged Bird	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	4373223	182	1	1	15	16	2001	1/21/04 12:52 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:15 Caged Bird.mp3	243
Lovin U (Bonus Track)	Alicia Keys	Alicia Keys	Songs In A Minor		R&B	5485423	228	1	1	16	16	2001	1/21/04 12:53 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alicia Keys:Songs In A Minor:16 Lovin U (Bonus Track).mp3	243
Soul Rebel	Bob Marley		Soul Rebel		Reggae	5437088	226			1	14		1/22/04 10:59 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:01 Soul Rebel.mp3	243
Duppy Conqueror	Bob Marley		Soul Rebel		Reggae	5062810	210			2	14		1/22/04 10:59 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:02 Duppy Conqueror.mp3	243
Touch Me	Bob Marley		Soul Rebel		Reggae	4435865	184			3	14		1/22/04 11:00 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:03 Touch Me.mp3	243
Natural Mystick	Bob Marley		Soul Rebel		Reggae	8213805	342			4	14		1/22/04 11:03 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:04 Natural Mystick.mp3	243
Cheer Up	Bob Marley		Soul Rebel		Reggae	3012087	125			5	14		1/22/04 11:04 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:05 Cheer Up.mp3	243
It's Alright	Bob Marley		Soul Rebel		Reggae	3768179	156			6	14		1/22/04 11:06 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:06 It's Alright.mp3	243
Mellow Mood	Bob Marley		Soul Rebel		Reggae	3650940	152			7	14		1/22/04 11:07 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:07 Mellow Mood.mp3	243
Back Out	Bob Marley		Soul Rebel		Reggae	3212707	133			8	14		1/22/04 11:09 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:08 Back Out.mp3	243
There She Goes	Bob Marley		Soul Rebel		Reggae	3663482	152			9	14		1/22/04 11:10 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:09 There She Goes.mp3	243
Corner Stone	Bob Marley		Soul Rebel		Reggae	3553140	147			10	14		1/22/04 11:11 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:10 Corner Stone.mp3	243
Riding High	Bob Marley		Soul Rebel		Reggae	4060959	169			11	14		1/22/04 11:13 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:11 Riding High.mp3	243
Chances Are	Bob Marley		Soul Rebel		Reggae	4718618	196			12	14		1/22/04 11:15 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:12 Chances Are.mp3	243
Treat You Right	Bob Marley		Soul Rebel		Reggae	3160679	131			13	14		1/22/04 11:16 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:13 Treat You Right.mp3	243
Trench Town Rock	Bob Marley		Soul Rebel		Reggae	4302962	179			14	14		1/22/04 11:18 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Bob Marley:Soul Rebel:14 Trench Town Rock.mp3	243
Front Row	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6079767	253	1	1	1	17	1998	1/21/04 4:30 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:01 Front Row.mp3	243
Baba	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6477241	269	1	1	2	17	1998	1/21/04 4:31 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:02 Baba.mp3	243
Thank U	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6213303	258	1	1	3	17	1998	1/21/04 4:32 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:03 Thank U.mp3	243
Are You Still Mad	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	5866616	244	1	1	4	17	1998	1/21/04 4:32 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:04 Are You Still Mad.mp3	243
Sympathetic Character	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	7522365	313	1	1	5	17	1998	1/21/04 4:33 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:05 Sympathetic Character.mp3	243
That I Would Be Good	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6161907	256	1	1	6	17	1998	1/21/04 4:34 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:06 That I Would Be Good.mp3	243
The Couch	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	7795071	324	1	1	7	17	1998	1/21/04 4:35 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:07 The Couch.mp3	243
Can't Not	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6627085	276	1	1	8	17	1998	1/21/04 4:36 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:08 Can't Not.mp3	243
UR	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	5076658	211	1	1	9	17	1998	1/21/04 4:36 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:09 UR.mp3	243
I Was Hoping	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	5547500	231	1	1	10	17	1998	1/21/04 4:37 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:10 I Was Hoping.mp3	243
One	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6729898	280	1	1	11	17	1998	1/21/04 4:37 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:11 One.mp3	243
Would Not Come	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	5884168	245	1	1	12	17	1998	1/21/04 4:38 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:12 Would Not Come.mp3	243
Unsent	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6005159	250	1	1	13	17	1998	1/21/04 4:39 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:13 Unsent.mp3	243
So Pure	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	4099893	170	1	1	14	17	1998	1/21/04 4:39 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:14 So Pure.mp3	243
Joining You	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	6346846	264	1	1	15	17	1998	1/21/04 4:40 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:15 Joining You.mp3	243
Heart Of The House	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	5440299	226	1	1	16	17	1998	1/21/04 4:41 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:16 Heart Of The House.mp3	243
Your Congratulations	Alanis Morissette		Supposed Former Infatuation Junkie		Alternative & Punk	5639041	234	1	1	17	17	1998	1/21/04 4:42 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Supposed Former Infatuation Junkie:17 Your Congratulations.mp3	243
Groove Holmes	The Beastie Boys	Beastie Boys	The In Sound From Way Out!		R&B	3644738	151	1	1	1	13	1992	1/21/04 8:40 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Beastie Boys:The In Sound From Way Out!:01 Groove Holmes.mp3	243
Sabrosa	The Beastie Boys	Beastie Boys	The In Sound From Way Out!		R&B	5104245	212	1	1	2	13	1994	1/21/04 8:41 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Beastie Boys:The In Sound From Way Out!:02 Sabrosa.mp3	243
Namaste	The Beastie Boys	Beastie Boys	The In Sound From Way Out!		R&B	5733692	238	1	1	3	13	1992	1/21/04 8:41 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Beastie Boys:The In Sound From Way Out!:03 Namaste.mp3	243
Pow	The Beastie Boys	Beastie Boys	The In Sound From Way Out!		R&B	3269818	136	1	1	4	13	1992	1/21/04 8:42 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Beastie Boys:The In Sound From Way Out!:04 Pow.mp3	243
Son Of Neckbone	The Beastie Boys	Beastie Boys	The In Sound From Way Out!		R&B	4884825	203	1	1	5	13	1996	1/21/04 8:42 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Beastie Boys:The In Sound From Way Out!:05 Son Of Neckbone.mp3	243
In 3's	The Beastie Boys	Beastie Boys	The In Sound From Way Out!		R&B	3340039	139	1	1	6	13	1992	1/21/04 8:43 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Beastie Boys:The In Sound From Way Out!:06 In 3's.mp3	243
