Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	284
Danny Boy	Johnny Cash		American IV: The Man Comes Ar		Country	3196969	199					9999	6/21/04 9:53 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man IV - The Man Comes Around:10 - Danny Boy.mp3	284
Desperado	Johnny Cash		American IV: The Man Comes Ar		Country	3095823	193					9999	6/21/04 9:52 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man IV - The Man Comes Around:11 - Desperado.mp3	284
I'm So Lonesome I Could Cry	Johnny Cash		American IV: The Man Comes Ar		Country	2934073	183					9999	6/21/04 9:52 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man IV - The Man Comes Around:12 - I'm So Lonesome I Could Cry.mp3	284
Tear Stained Letter	Johnny Cash		American IV: The Man Comes Ar		Country	3543038	221					9999	6/21/04 10:04 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man IV - The Man Comes Around:13 - Tear Stained Letter.mp3	284
Streets of Laredo	Johnny Cash		American IV: The Man Comes Ar		Country	3412218	213					9999	6/21/04 10:06 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man IV - The Man Comes Around:14 - Streets of Laredo.mp3	284
We'll Meet Again	Johnny Cash		American IV: The Man Comes Ar		Country	2858422	178					9999	6/21/04 10:05 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man IV - The Man Comes Around:15 - We'll Meet Again.mp3	284
Long Black Veil	Johnny Cash		Unearthed Volume One: Who's G		Country	3122573	195					9999	6/21/04 10:51 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:01 - Long Black Veil.mp3	284
Flesh & Blood	Johnny Cash		Unearthed Volume One: Who's G		Country	2398249	149					9999	6/21/04 10:53 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:02 - Flesh & Blood.mp3	284
Just The Other Side Of Nowher	Johnny Cash		Unearthed Volume One: Who's G		Country	3178997	198					9999	6/21/04 10:59 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:03 - Just The Other Side Of Nowhere.mp3	284
If I Give My Soul	Johnny Cash		Unearthed Volume One: Who's G		Country	2910667	181					9999	6/21/04 11:03 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:04 - If I Give My Soul.mp3	284
Understand Your Man	Johnny Cash		Unearthed Volume One: Who's G		Country	2017906	126					9999	6/21/04 10:59 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:05 - Understand Your Man.mp3	284
Banks Of The Ohio	Johnny Cash		Unearthed Volume One: Who's G		Country	3965596	247					9999	6/21/04 11:10 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:06 - Banks Of The Ohio.mp3	284
Two Timin' Woman	Johnny Cash		Unearthed Volume One: Who's G		Country	2018324	126					9999	6/21/04 11:07 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:07 - Two Timin' Woman.mp3	284
The Caretaker	Johnny Cash		Unearthed Volume One: Who's G		Country	1844453	115					9999	6/21/04 11:07 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:08 - The Caretaker.mp3	284
Old Chunk Of Coal	Johnny Cash		Unearthed Volume One: Who's G		Country	1828989	114					9999	6/21/04 11:10 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:09 - Old Chunk Of Coal.mp3	284
I'm Going To Memphis	Johnny Cash		Unearthed Volume One: Who's G		Country	2562925	160					9999	6/21/04 11:18 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:10 - I'm Going To Memphis.mp3	284
Breaking Bread	Johnny Cash		Unearthed Volume One: Who's G		Country	2698762	168					9999	6/21/04 11:19 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:11 - Breaking Bread.mp3	284
Waiting For A Train	Johnny Cash		Unearthed Volume One: Who's G		Country	1707781	106					9999	6/21/04 11:17 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:12 - Waiting For A Train.mp3	284
Casey's Last Ride	Johnny Cash		Unearthed Volume One: Who's G		Country	3221629	201					9999	6/21/04 11:24 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:13 - Casey's Last Ride.mp3	284
No Earthly Good	Johnny Cash		Unearthed Volume One: Who's G		Country	2621022	163					9999	6/21/04 11:28 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:14 - No Earthly Good.mp3	284
The Fourth Man In The Fire	Johnny Cash		Unearthed Volume One: Who's G		Country	2695836	168					9999	6/21/04 11:29 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:15 - The Fourth Man In The Fire.mp3	284
Dark As A Dungeon	Johnny Cash		Unearthed Volume One: Who's G		Country	2893113	180					9999	6/21/04 11:31 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:16 - Dark As A Dungeon.mp3	284
Book Review	Johnny Cash		Unearthed Volume One: Who's G		Country	2043866	127					9999	6/21/04 11:32 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:17 - Book Review.mp3	284
Down There By The Train (alte	Johnny Cash		Unearthed Volume One: Who's G		Country	5587696	349					9999	6/21/04 11:51 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 1 - Who's Gonna Cry:18 - Down There By The Train (alternate take).mp3	284
Pocahontas	Johnny Cash		Unearthed Volume Two: Trouble		Country	3578984	223					9999	6/21/04 11:44 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:01 - Pocahontas.mp3	284
I'm A Drifter (Version 1)	Johnny Cash		Unearthed Volume Two: Trouble		Country	3684728	230					9999	6/21/04 11:46 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:02 - I'm A Drifter (Version 1).mp3	284
Trouble In Mind	Johnny Cash		Unearthed Volume Two: Trouble		Country	3399262	212					9999	6/21/04 11:47 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:03 - Trouble In Mind.mp3	284
Down The Line	Johnny Cash		Unearthed Volume Two: Trouble		Country	2532832	158					9999	6/21/04 11:55 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:04 - Down The Line.mp3	284
I'm Movin' On	Johnny Cash		Unearthed Volume Two: Trouble		Country	2796146	174					9999	6/21/04 11:58 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:05 - I'm Movin' On.mp3	284
As Long As The Grass Shall Gr	Johnny Cash		Unearthed Volume Two: Trouble		Country	4185443	261					9999	6/22/04 12:04 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:06 - As Long As The Grass Shall Grow.mp3	284
Heart Of Gold	Johnny Cash		Unearthed Volume Two: Trouble		Country	2907742	181					9999	6/22/04 12:04 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:07 - Heart Of Gold.mp3	284
